site_id,name,latitude,longitude,operator,n_refill_points,max_power_kw,connector_types,type_of_site
VEMOQVJHAMQ6RNLG2KAU,PETRO UVE LAVADERO,36.911285,-6.0837336,PETRO UVE S.L,1,40.0,iec62196T2COMBO,openSpace
JN6XIVNDB9NVK1KIDMSB,Petrem Eco Moli,42.26667,2.9736338,PETREM DISTRIBUCIO SA,1,50.0,iec62196T2COMBO,openSpace
6I93NNS0EZPXLBAPEMIX,PARKING CENTRO,37.25845,-6.95736,ARSA INVERSIONES SAU,3,22.0,iec62196T2,openSpace
C2JBB8PHHIZSBOSJMKGB,ESTACION SERVICIO MIRALBUENO S.L,41.663418,-0.930423,ESTACION SERVICIO MIRALBUENO S.L,1,180.0,iec62196T2COMBO,onstreet
FUDJDVLFFSCCF8DFJXUN,E-A-Cox-005,38.151264,-0.88924,IBERDROLA CLIENTES S.A.U,2,17.4,iec62196T2,onstreet
RO8WLYZARUEN3F9ZEF24,A-BENIDORM-010,38.557034,-0.167166,IBERDROLA CLIENTES S.A.U,4,22.0,iec62196T2,openSpace
FXP2LBZCFNUG0BF5ZJK9,M-BoadillaDelMonte-031,40.40237,-3.89456,IBERDROLA CLIENTES S.A.U,2,60.0,iec62196T2COMBO,onstreet
2024006655,B-HospitaletdeLlobregat-003,41.35569,2.098309,IBERDROLA CLIENTES S.A.U,2,50.0,chademo|iec62196T2COMBO,openSpace
3DHZFESSFBF8YHGAKWOL,E-A-Orihuela-025,37.93353,-0.768477,IBERDROLA CLIENTES S.A.U,8,22.0,iec62196T2,
2024004802,AB-Albacete-014,39.009594,-1.877909,IBERDROLA CLIENTES S.A.U,2,150.0,iec62196T2COMBO,
E1QW7A56Q17KZWRQLC7E,E-VI-VitoriaGasteiz-030,42.850433,-2.677243,IBERDROLA CLIENTES S.A.U,6,7.4,iec62196T2,
48JHEMGO7EB896CNZBZL,E-A-Finestrat-007,38.536633,-0.180254,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,
2024006680,E-IB-SantJosepDeSaTalaia-002,38.902428,1.396398,IBERDROLA CLIENTES S.A.U,6,22.0,iec62196T2,
