site_id,name,latitude,longitude,operator,n_refill_points,max_power_kw,connector_types,type_of_site,Carretera,Tipo_de_via
QOBEZUWVG3TQTTF0J26K,E-V-MarenyDeBarraquetes-001,39.203903,-0.316866,IBERDROLA CLIENTES S.A.U,6,22.0,iec62196T2,openSpace,N-332,Carretera convencional
AAJSXDR3GXMLFSKSPG0Y,Aduriz Av. Burgos,42.929886,-3.483091,ADURIZ ENERGIA SLU,4,180.0,iec62196T2COMBO,openSpace,N-629,Carretera convencional
2023002563,62130031400004,43.45312,-3.850587,"ENDESA X WAY, S.L.",3,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-611,Carretera convencional
2023002554,62130031400009,43.45312,-3.850587,"ENDESA X WAY, S.L.",3,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-611,Carretera convencional
2024002317,GI-Jonquera-003,42.40247,2.87942,IBERDROLA CLIENTES S.A.U,2,50.0,chademo|iec62196T2COMBO,,N-2,Multicarril
X1AOQHZSQKL9CBYWLDU6,E-OU-Viloira-001,42.417313,-6.997666,IBERDROLA CLIENTES S.A.U,4,22.0,iec62196T2,openSpace,N-536,Carretera convencional
2024003416,O-Llanes-006,43.438095,-4.871545,IBERDROLA CLIENTES S.A.U,4,50.0,chademo|iec62196T2|iec62196T2COMBO,,A-8,Autopista libre\Autovía
C3HANE3QEG85ISLD5HSJ,E-TO-BarrioDeSantaMaria-001,39.958126,-4.844052,IBERDROLA CLIENTES S.A.U,4,22.0,iec62196T2,openSpace,N-502A,Carretera convencional
SZAJQ2HV6UVDVSOMMTGA,"Repsol ES, LOS BREZOS",42.34085,-3.766363,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-120,Carretera convencional
2023002873,22XP22T3KKJAK00121,37.925247,-6.71536,"ENDESA X WAY, S.L.",2,22.0,iec62196T2,openSpace,N-433,Carretera convencional
2024005150,61945052640015,41.05065,-0.173693,"ENDESA X WAY, S.L.",3,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-232,Carretera convencional
GYB2JFK7SRJJPFFM7NVA,"Repsol ES, Fertol",41.697346,-6.342305,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-122,Carretera convencional
2024004471,Mesón La Gran Familia,38.62855,-6.369484,WENEA EMOBILITY SERVICES S.L.,7,150.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,A-66,Autopista libre\Autovía
L1INJ4M4EM9B9IVVSHXC,"Repsol, DC - Cañaveral",39.792778,-6.388707,REPSOL SOLUCIONES ENERGÉTICAS SA,2,22.17,iec62196T2,onstreet,N-630,Carretera convencional
2CFBTRB79KMR6KIVC4MF,"Repsol ES, Aristoil Global S.L",42.3579,-5.328425,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-601,Carretera convencional
