bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_001,39.676179,-4.97572,N-502,Endesa,1500,Congested
FRIC_002,38.791353,-2.376395,N-322,Endesa,1500,Congested
FRIC_003,40.893228,-1.969905,N-211,Endesa,1500,Congested
FRIC_004,37.456421,-1.567436,AP-7N,Endesa,1350,Congested
FRIC_005,42.11503,-2.641618,N-111,Endesa,1350,Congested
FRIC_006,42.865522,-3.795786,N-623,Endesa,1350,Congested
FRIC_007,40.58389,-0.038583,N-232,Endesa,1350,Congested
FRIC_008,37.965496,-7.230629,N-433,Endesa,1350,Congested
FRIC_009,42.005651,-6.26185,A-52,Endesa,1350,Congested
FRIC_010,42.404775,1.136388,N-260,Endesa,1200,Congested
FRIC_011,38.256627,-5.894809,N-432,Endesa,1200,Congested
FRIC_012,38.411541,-4.301535,N-420,Endesa,1050,Congested
FRIC_013,43.267466,-7.273334,N-640,Endesa,1050,Congested
FRIC_014,36.265432,-6.028482,N-340,Endesa,1050,Congested
FRIC_015,42.657105,-1.400758,A-21,Endesa,1050,Congested
FRIC_016,38.675806,0.008671,AP-7N,Endesa,900,Moderate
FRIC_017,39.549175,-1.1866,A-3,Endesa,900,Moderate
FRIC_018,39.970321,-3.197715,N-400,Endesa,900,Congested
FRIC_019,43.368292,-5.531564,N-634,Endesa,900,Congested
FRIC_020,36.706198,-3.405402,N-340,Endesa,900,Congested
FRIC_021,42.051052,2.875505,AP-7N,Endesa,900,Congested
FRIC_022,41.374387,-4.683832,N-601,Endesa,900,Congested
FRIC_023,42.537238,-8.668774,AP-9,Endesa,900,Congested
FRIC_024,28.085149,-16.514379,TF-1,Endesa,750,Congested
FRIC_025,39.680823,2.850755,Ma-13,Endesa,750,Congested
