bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_001,41.222259,-2.264376,A-2,i-DE,900.0,Moderate
FRIC_002,42.61752,-1.296475,A-21,i-DE,1800.0,Moderate
FRIC_003,38.033425,-3.330125,A-32,i-DE,1800.0,Moderate
FRIC_004,39.038432,-3.302366,A-43,i-DE,1800.0,Moderate
FRIC_005,39.204269,-2.705558,A-43,i-DE,1800.0,Moderate
FRIC_006,42.514556,-5.423747,A-60,i-DE,1800.0,Moderate
FRIC_007,42.427093,-3.695034,A-73,i-DE,1800.0,Moderate
FRIC_008,41.863797,-7.428322,A-75,i-DE,1800.0,Moderate
FRIC_009,43.549896,-6.038504,AI-82,i-DE,1800.0,Moderate
FRIC_010,41.516354,0.081713,AP-2,Endesa,1800.0,Congested
FRIC_011,41.50127,0.847339,AP-2,Endesa,1800.0,Congested
FRIC_012,39.519155,-2.922702,AP-36,i-DE,1800.0,Moderate
FRIC_013,39.761775,-3.141759,AP-36,i-DE,1500.0,Moderate
FRIC_014,39.519155,-2.922702,AP-36,i-DE,1500.0,Moderate
FRIC_015,39.406185,-2.559819,AP-36,i-DE,1500.0,Moderate
FRIC_016,42.410253,-2.25735,AP-68,i-DE,1800.0,Moderate
FRIC_017,36.555173,-6.202666,CA-32,Endesa,1800.0,Congested
FRIC_018,37.839265,-4.802045,CO-32,i-DE,1800.0,Moderate
FRIC_019,38.593549,-0.739091,CV-80,i-DE,1800.0,Moderate
FRIC_020,43.522772,-5.694383,GJ-81,i-DE,1800.0,Moderate
FRIC_021,37.283558,-6.934118,H-30,i-DE,900.0,Moderate
FRIC_022,42.539004,-5.569719,LE-11,i-DE,900.0,Moderate
FRIC_023,40.299736,-3.664874,M-50,i-DE,1500.0,Moderate
FRIC_024,41.418006,-3.381737,N-110A,i-DE,600.0,Moderate
FRIC_025,41.967339,-2.483857,N-111,i-DE,600.0,Moderate
FRIC_026,42.107366,-2.632326,N-111,i-DE,600.0,Moderate
FRIC_027,42.280692,-2.58382,N-111,i-DE,600.0,Moderate
FRIC_028,42.107366,-2.632326,N-111,i-DE,900.0,Moderate
FRIC_029,42.358634,-1.653642,N-121,i-DE,600.0,Moderate
FRIC_030,41.630387,-6.132235,N-122,i-DE,900.0,Moderate
FRIC_031,41.627476,-3.475477,N-122A,i-DE,600.0,Moderate
