bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_001,41.516354,0.081713,AP-2,Endesa,1800.0,Congested
FRIC_002,41.50127,0.847339,AP-2,Endesa,1800.0,Congested
FRIC_003,38.033425,-3.330125,A-32,i-DE,1800.0,Moderate
FRIC_004,39.038432,-3.302366,A-43,i-DE,1800.0,Moderate
FRIC_005,39.204269,-2.705558,A-43,i-DE,1800.0,Moderate
FRIC_006,43.549896,-6.038504,AI-82,i-DE,1800.0,Moderate
FRIC_007,42.514556,-5.423747,A-60,i-DE,1800.0,Moderate
FRIC_008,42.427093,-3.695034,A-73,i-DE,1800.0,Moderate
FRIC_009,41.863797,-7.428322,A-75,i-DE,1800.0,Moderate
FRIC_010,42.410253,-2.25735,AP-68,i-DE,1800.0,Moderate
FRIC_011,39.519155,-2.922702,AP-36,i-DE,1800.0,Moderate
FRIC_012,37.839265,-4.802045,CO-32,i-DE,1800.0,Moderate
FRIC_013,36.555173,-6.202666,CA-32,Endesa,1800.0,Congested
FRIC_014,43.522772,-5.694383,GJ-81,i-DE,1800.0,Moderate
FRIC_015,38.593549,-0.739091,CV-80,i-DE,1800.0,Moderate
FRIC_016,41.524754,-5.71807,ZA-12,i-DE,1800.0,Moderate
FRIC_017,41.708198,-2.483796,SO-20,i-DE,1800.0,Moderate
FRIC_018,39.892588,-3.966426,TO-22,i-DE,1800.0,Moderate
FRIC_019,42.41505,-8.672133,PO-11,i-DE,1800.0,Moderate
FRIC_020,42.614259,-0.205573,N-260A,Endesa,600.0,Congested
FRIC_021,40.299736,-3.664874,M-50,i-DE,1500.0,Moderate
FRIC_022,39.761775,-3.141759,AP-36,i-DE,1500.0,Moderate
FRIC_023,39.519155,-2.922702,AP-36,i-DE,1500.0,Moderate
FRIC_024,39.406185,-2.559819,AP-36,i-DE,1500.0,Moderate
FRIC_025,40.574769,-3.285907,R-2,i-DE,1500.0,Moderate
FRIC_026,38.544536,-1.287748,N-344,Endesa,600.0,Congested
FRIC_027,37.283558,-6.934118,H-30,i-DE,900.0,Moderate
FRIC_028,41.222259,-2.264376,A-2,i-DE,900.0,Moderate
FRIC_029,43.097712,-8.402855,N-550,i-DE,900.0,Moderate
FRIC_030,42.012849,-6.278394,N-525,i-DE,900.0,Moderate
FRIC_031,39.718904,-5.740217,N-5,i-DE,900.0,Moderate
FRIC_032,37.169121,-6.893512,N-442,i-DE,900.0,Moderate
FRIC_033,42.107366,-2.632326,N-111,i-DE,900.0,Moderate
FRIC_034,41.630387,-6.132235,N-122,i-DE,900.0,Moderate
FRIC_035,41.895027,2.775695,N-156,i-DE,900.0,Moderate
FRIC_036,40.470225,-2.556165,N-320,i-DE,900.0,Moderate
FRIC_037,37.152543,-4.556866,N-331,i-DE,900.0,Moderate
FRIC_038,42.539004,-5.569719,LE-11,i-DE,900.0,Moderate
FRIC_039,37.075128,-2.348701,N-340A,i-DE,900.0,Moderate
FRIC_040,36.963226,-5.88346,N-4,i-DE,900.0,Moderate
FRIC_041,43.232247,-2.400734,N-634,i-DE,900.0,Moderate
FRIC_042,42.41505,-8.672133,PO-11,i-DE,900.0,Moderate
FRIC_043,37.326387,-6.007085,SE-31,i-DE,900.0,Moderate
FRIC_044,41.708198,-2.483796,SO-20,i-DE,900.0,Moderate
FRIC_045,41.626018,-4.699134,VA-11,i-DE,900.0,Moderate
