Carretera,Tipo_de_via,n_segments,total_length_m,mean_segment_length_m,mean_nearest_station_m,max_nearest_station_m,n_gaps,gap_ratio,n_stations,total_refill_points,mean_max_power_kw,max_max_power_kw,mean_lat,mean_lon,n_operators,has_chademo,has_ccs,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,comunidad_autonoma,provincia,ev_fleet_2027,ev_registrations_2026,ev_registrations_2027,ev_growth_rate,road_type_rank,stations_per_100km,refill_points_per_100km,needs_more_stations
A-1,Autopista libre\Autovía,20,374960.19509611255,18748.00975480563,3834.2954196806363,11866.38571017738,0,0.0,88,358,91.79920454545454,560.0,41.814651375,-3.083405435227273,21,True,True,0.5734272957961725,7.19,0.0,45.0,07 - C.León,Soria,327883,76108,88118,1.1578020707415777,4,23.46915783352502,95.47680118638588,0
A-10,Autopista libre\Autovía,1,30348.62051100281,30348.62051100281,2500.3327132908576,2500.3327132908576,0,0.0,3,12,83.33333333333333,100.0,42.908297000000005,-2.0782593333333335,3,True,True,0.9600491420554236,1.61,0.0,30.0,07 - C.León,Soria,327883,76108,88118,1.1578020707415777,4,9.885128053554718,39.54051221421887,0
A-11,Autopista libre\Autovía,8,159451.2731317988,19931.40914147485,4991.454311023295,12963.387054473467,0,0.0,2,3,33.5,60.0,41.6147115,-4.687557,2,False,False,2.106614686942981,0.0,0.0,132.0,07 - C.León,León,327883,76108,88118,1.1578020707415777,4,1.2543016814590406,1.881452522188561,0
A-12,Autopista libre\Autovía,3,113014.03699577891,37671.345665259636,10779.617056634708,21986.44498022217,0,0.0,5,13,98.96000000000001,180.0,42.7742082,-1.71073916,4,True,True,0.6684454493329723,5.3,0.0,66.0,02 - Aragón,Zaragoza,327883,76108,88118,1.1578020707415777,4,4.424229177997376,11.50299586279318,0
A-13,Autopista libre\Autovía,1,4169.221303463914,4169.221303463914,261.27641089715235,261.27641089715235,0,0.0,5,26,64.4,100.0,42.463871,-2.4196750600000003,3,True,True,0.5297028970019393,1.61,0.0,30.0,07 - C.León,Soria,327883,76108,88118,1.1578020707415777,4,119.92647154148065,623.6176520156994,0
A-14,Autopista libre\Autovía,1,16562.851752577764,16562.851752577764,2392.7067416761056,2392.7067416761056,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-15,Autopista libre\Autovía,10,140458.34692497575,14045.834692497574,8804.987000718953,20440.52003421126,0,0.0,15,53,101.94466666666668,250.0,42.99733826666667,-1.8400042,9,True,True,0.9036623149570037,1.08,0.01,45.0,15 - Navarra,Navarra,327883,76108,88118,1.1578020707415777,4,10.67932260943672,37.73360655334308,0
A-1A,Multicarril,1,6823.882190311151,6823.882190311151,2910.6013193910003,2910.6013193910003,0,0.0,1,1,50.0,50.0,40.71318,-3.577692,1,True,True,1.0434060418113669,44.67,0.0,15.0,04 - Illes Balears,Illes Balears,327883,76108,88118,1.1578020707415777,2,14.654414776091008,14.654414776091008,0
A-2,Autopista libre\Autovía,19,523504.67876462376,27552.87782971704,3339.675378062583,9699.60850524344,0,0.0,128,407,94.50578125,360.0,41.0948089921875,-1.408343632578125,23,True,True,0.03150656274624059,7.53,0.0,45.0,02 - Aragón,Zaragoza,327883,76108,88118,1.1578020707415777,4,24.450593316960763,77.74524593752368,0
A-2,Multicarril,1,3272.920991089572,3272.920991089572,3812.518713748711,3812.518713748711,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,2,0.0,0.0,1
A-21,Autopista libre\Autovía,9,81619.06316595801,9068.784796217557,7744.878111450989,16880.295275068678,0,0.0,1,2,50.0,50.0,42.62066,-1.203379,1,True,True,0.2992811397893725,1.08,0.01,45.0,15 - Navarra,Navarra,327883,76108,88118,1.1578020707415777,4,1.2252039673215507,2.4504079346431014,0
