Carretera,Tipo_de_via,length_m,nearest_station_m,has_gap,segment_id,road_n_stations,road_total_refill_points,road_mean_power_kw,road_max_power_kw,road_n_operators,road_has_chademo,road_has_ccs,road_total_length_m,road_n_segments,road_n_gaps,road_gap_ratio,road_mean_nearest_m,road_max_nearest_m,road_centroid_lat,road_centroid_lon,road_min_lat,road_max_lat,road_min_lon,road_max_lon,road_span_lat,road_span_lon,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,comunidad_autonoma,provincia,municipio,grid_capacity_3nearest_mw,grid_maxvoltage_3nearest_kv,ev_fleet_2027,ev_reg_2026,ev_reg_2027,ev_growth_rate,road_type_rank,road_stations_per_100km,road_refill_per_100km,is_underserved,is_desert,stations_deficit_afir,priority_score,priority_score_norm
TO-23,Multicarril,7527.979244750741,74.82226852190453,0,0,12,45,83.45,250.0,7,1,1,7527.979244750741,1.0,0.0,0.0,74.82226852190453,74.82226852190453,39.864278,-3.97200125,39.862125,39.86924,-3.980628,-3.959182,0.007114999999998872,0.021445999999999632,0.5080585843395794,74.26,0.0,15.0,04 - Illes Balears,Illes Balears,Andratx,169.22,15.0,327883,76108,88118,1.1578020707415777,2,159.40532790878243,597.7699796579341,0,0,0,8.65678405895159,0.21040051819065878
AP-7S,Autopista peaje,22078.044641377943,1902.1550646717544,0,1,3,4,27.333333333333332,30.0,2,1,1,90062.22450337403,5.0,0.0,0.0,3104.503662057194,4269.02398987149,36.546675666666665,-4.760377133333333,36.41467,36.613167,-5.2251544,-4.52731,0.19849699999999615,0.6978444000000001,0.0487155257344922,46.33,0.01,66.0,01 - Andalucía,Málaga,Marbella,146.49,66.0,327883,76108,88118,1.1578020707415777,3,3.3310303143662745,4.441373752488366,0,0,0,22.653805044906463,0.5505938796647918
AP-7S,Autopista peaje,24146.013099683783,3027.7874808548186,0,2,3,4,27.333333333333332,30.0,2,1,1,90062.22450337403,5.0,0.0,0.0,3104.503662057194,4269.02398987149,36.546675666666665,-4.760377133333333,36.41467,36.613167,-5.2251544,-4.52731,0.19849699999999615,0.6978444000000001,0.0487155257344922,46.33,0.01,66.0,01 - Andalucía,Málaga,Marbella,146.49,66.0,327883,76108,88118,1.1578020707415777,3,3.3310303143662745,4.441373752488366,0,0,0,24.047752941235366,0.5844733616665525
AP-7S,Autopista peaje,28323.85269677033,4269.02398987149,0,3,3,4,27.333333333333332,30.0,2,1,1,90062.22450337403,5.0,0.0,0.0,3104.503662057194,4269.02398987149,36.546675666666665,-4.760377133333333,36.41467,36.613167,-5.2251544,-4.52731,0.19849699999999615,0.6978444000000001,0.0487155257344922,46.33,0.01,66.0,01 - Andalucía,Málaga,Marbella,146.49,66.0,327883,76108,88118,1.1578020707415777,3,3.3310303143662745,4.441373752488366,0,0,0,25.078124173331314,0.6095162228128418
AP-7S,Autopista peaje,11492.490960125377,4014.9361942124256,0,4,3,4,27.333333333333332,30.0,2,1,1,90062.22450337403,5.0,0.0,0.0,3104.503662057194,4269.02398987149,36.546675666666665,-4.760377133333333,36.41467,36.613167,-5.2251544,-4.52731,0.19849699999999615,0.6978444000000001,0.0487155257344922,46.33,0.01,66.0,01 - Andalucía,Málaga,Marbella,146.49,66.0,327883,76108,88118,1.1578020707415777,3,3.3310303143662745,4.441373752488366,0,0,0,24.894077320050116,0.6050430197113179
AP-7S,Autopista peaje,4021.823105416602,2308.6155806754828,0,5,3,4,27.333333333333332,30.0,2,1,1,90062.22450337403,5.0,0.0,0.0,3104.503662057194,4269.02398987149,36.546675666666665,-4.760377133333333,36.41467,36.613167,-5.2251544,-4.52731,0.19849699999999615,0.6978444000000001,0.0487155257344922,46.33,0.01,66.0,01 - Andalucía,Málaga,Marbella,146.49,66.0,327883,76108,88118,1.1578020707415777,3,3.3310303143662745,4.441373752488366,0,0,0,23.23450912312584,0.5647077166440617
N-4,Carretera convencional,4868.842576163149,1800.403538770027,0,6,3,10,87.02,140.0,3,1,1,97092.45166543643,6.0,0.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,38.51557,-5.9388,-3.494726,1.3543699999999959,2.4440739999999996,0.07514231055355075,36.84,0.0,66.0,01 - Andalucía,Córdoba,Villa del Río,45.1,66.0,327883,76108,88118,1.1578020707415777,1,3.0898385492803024,10.299461830934343,0,0,0,7.496321383803151,0.18219582386890623
N-4,Carretera convencional,2138.747892252916,216.96566682086237,0,7,3,10,87.02,140.0,3,1,1,97092.45166543643,6.0,0.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,38.51557,-5.9388,-3.494726,1.3543699999999959,2.4440739999999996,0.07514231055355075,36.84,0.0,66.0,01 - Andalucía,Córdoba,Villa del Río,45.1,66.0,327883,76108,88118,1.1578020707415777,1,3.0898385492803024,10.299461830934343,0,0,0,5.384337558738557,0.1308646957989638
N-4,Carretera convencional,8686.597009278476,10427.906817091136,0,8,3,10,87.02,140.0,3,1,1,97092.45166543643,6.0,0.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,38.51557,-5.9388,-3.494726,1.3543699999999959,2.4440739999999996,0.07514231055355075,36.84,0.0,66.0,01 - Andalucía,Córdoba,Villa del Río,45.1,66.0,327883,76108,88118,1.1578020707415777,1,3.0898385492803024,10.299461830934343,0,0,0,9.252336731101062,0.22487524575424037
N-4,Carretera convencional,12810.96293858887,4184.225556139132,0,9,3,10,87.02,140.0,3,1,1,97092.45166543643,6.0,0.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,38.51557,-5.9388,-3.494726,1.3543699999999959,2.4440739999999996,0.07514231055355075,36.84,0.0,66.0,01 - Andalucía,Córdoba,Villa del Río,45.1,66.0,327883,76108,88118,1.1578020707415777,1,3.0898385492803024,10.299461830934343,0,0,0,8.339315877800763,0.2026845500703601
N-4,Carretera convencional,5806.012828083931,12071.65529431653,0,10,3,10,87.02,140.0,3,1,1,97092.45166543643,6.0,0.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,38.51557,-5.9388,-3.494726,1.3543699999999959,2.4440739999999996,0.07514231055355075,36.84,0.0,66.0,01 - Andalucía,Córdoba,Villa del Río,45.1,66.0,327883,76108,88118,1.1578020707415777,1,3.0898385492803024,10.299461830934343,0,0,0,9.398698281141172,0.22843251895892241
N-4,Multicarril,2853.867449216257,1590.1352138206605,0,11,0,0,0.0,0.0,0,0,0,5978.075981831608,3.0,0.0,0.0,4499.404278818646,6792.575770182877,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,2,0.0,0.0,0,0,0,14.744406022829311,0.35835832873858975
N-4,Multicarril,1799.5783636988456,6792.575770182877,0,12,0,0,0.0,0.0,0,0,0,5978.075981831608,3.0,0.0,0.0,4499.404278818646,6792.575770182877,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,2,0.0,0.0,0,0,0,17.64746540987482,0.42891630907090783
N-4,Carretera convencional,62781.28842106909,1144.2229822357976,0,13,3,10,87.02,140.0,3,1,1,97092.45166543643,6.0,0.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,38.51557,-5.9388,-3.494726,1.3543699999999959,2.4440739999999996,0.07514231055355075,36.84,0.0,66.0,01 - Andalucía,Córdoba,Villa del Río,45.1,66.0,327883,76108,88118,1.1578020707415777,1,3.0898385492803024,10.299461830934343,0,0,0,7.043354641338869,0.17118660419926812
N-4,Multicarril,1324.6301689165057,5115.501852452402,0,14,0,0,0.0,0.0,0,0,0,5978.075981831608,3.0,0.0,0.0,4499.404278818646,6792.575770182877,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,2,0.0,0.0,0,0,0,17.080452505162704,0.41513523192265006
A-7S,Autopista libre\Autovía,71159.6285923375,6130.069400125705,0,15,86,212,72.0796511627907,350.0,15,1,1,421645.3286825559,21.0,0.0,0.0,3221.8668922008815,9138.735001299863,36.61979268604651,-4.173906974418604,36.181152,37.43446,-5.4414997,-1.897869,1.253308000000004,3.5436306999999996,0.1252176627691642,45.92,0.0,132.0,01 - Andalucía,Málaga,Rincón de la Victoria,149.69,132.0,327883,76108,88118,1.1578020707415777,4,20.396289049071104,50.27922416747761,0,0,0,34.88449786897143,0.8478571694141833
