station_id,road_code,pk_km,year,imd_total,imd_ligeros,imd_pesados,pct_pesados,network,region,source_file
A-507-4,AP-7,727.9,2024,29240.0,25776.0,3464.0,11.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-508-4,AP-7,731.5,2024,34544.0,30672.0,3872.0,11.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-509-4,AP-7,735.0,2024,37176.0,32996.0,4180.0,11.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-510-4,AP-7,738.9,2024,35304.0,30426.0,4878.0,13.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-511-4,AP-7,741.65,2024,34602.0,30118.0,4484.0,13.0,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-512-4,AP-7,744.1,2024,32876.0,29044.0,3832.0,11.7,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-513-4,AP-7,748.35,2024,13302.0,11846.0,1456.0,10.9,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-514-4,AP-7,752.75,2024,7650.0,6746.0,904.0,11.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-515-4,AP-7,756.25,2024,7924.0,6724.0,1200.0,15.1,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-516-4,AP-7,760.95,2024,9602.0,8450.0,1152.0,12.0,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-517-4,AP-7,765.85,2024,7768.0,6648.0,1120.0,14.4,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-518-4,AP-7,769.05,2024,25072.0,23096.0,1976.0,7.9,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-519-4,AP-7,771.9,2024,27448.0,24526.0,2922.0,10.7,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-520-4,A-7,510.0,2024,0.0,0.0,0.0,0.0,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-521-4,AP-7,683.0,2024,14014.0,13272.0,742.0,5.3,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-522-4,AP-7,697.0,2024,10312.0,9700.0,612.0,5.9,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-526-4,AP-7,675.5,2024,11174.0,10580.0,594.0,5.3,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-527-4,AP-7,677.3,2024,10934.0,10346.0,588.0,5.4,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
AB-501-4Calzada:,AP-36,144.7,2024,10280.0,8436.0,1844.0,17.9,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
AL-501-4Calzada:,AP-7,895.0,2024,2348.0,1932.0,416.0,17.7,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
AL-502-4Calzada:,AP-7,906.0,2024,2272.0,1892.0,380.0,16.7,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
AV-501-4Calzada:,AP-6,90.28,2024,16176.0,14136.0,2040.0,12.6,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
AV-502-4Calzada:,AP-6,106.11,2024,15404.0,13464.0,1940.0,12.6,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
AV-503-4Calzada:,AP-51,104.35,2024,17142.0,15742.0,1400.0,8.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
AV-504-4Calzada:,AP-51,95.69,2024,8226.0,7632.0,594.0,7.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
AV-505-4Calzada:,AP-6,108.56,2024,11332.0,9812.0,1520.0,13.4,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
C-506-4,AP-9F,1.0,2024,24384.0,23108.0,1276.0,5.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
