station_id,road_code,pk_km,year,imd_total,imd_ligeros,imd_pesados,pct_pesados,network,region,source_file
A-507-4,AP-7,727.9,2024,29240.0,25776.0,3464.0,11.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2023,27576.0,24528.0,3322.0,12.1,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2022,26082.0,22895.0,3187.0,12.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2021,23515.0,20506.0,3009.0,12.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2020,18675.0,16119.0,2556.0,13.7,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2019,24957.0,22010.0,2947.0,11.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2018,24112.0,21343.0,2769.0,11.5,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2017,23306.0,20627.0,2679.0,11.5,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2016,22234.0,19757.0,2477.0,11.1,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2015,21124.0,18665.0,2395.0,11.3,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2014,20192.0,17989.0,2143.0,10.6,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2013,19748.0,17486.0,2202.0,11.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2012,20064.0,17766.0,2238.0,11.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2011,21305.0,18791.0,2450.0,11.5,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2010,26398.0,24475.0,1819.0,6.9,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2009,22419.0,19850.0,2481.0,11.1,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2008,23031.0,19946.0,2881.0,12.51,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2007,24724.0,20733.0,3816.0,15.43,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
A-507-4,AP-7,727.9,2006,24068.0,20676.0,3222.0,13.38,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
