n_segments,mean_segment_length_m,mean_nearest_station_m,max_nearest_station_m,total_refill_points,mean_max_power_kw,max_max_power_kw,mean_lat,mean_lon,n_operators,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,refill_points_per_100km,afir_stations_required,afir_power_compliant,afir_power_gap_kw,is_tent_core,power_range_kw,has_hpc,connector_diversity,coverage_ratio,refill_per_station,gap_severity,station_density_per_segment,grid_strong_hv,grid_utilization,traffic_weight,ev_demand_2027_road,ev_fleet_2027_regional,ev_per_100km_regional,log_total_length_m,log_mean_nearest_station_m,log_n_stations,log_max_max_power_kw,log_refill_points_per_100km,log_grid_capacity_pending_mw,log_nearest_grid_dist_deg,log_ev_per_100km_regional,demand_vs_supply,grid_x_power,tent_x_gap,tipo_de_via_Autopista peaje,tipo_de_via_Carretera convencional,tipo_de_via_Multicarril,comunidad_autonoma_02 - Aragón,comunidad_autonoma_04 - Illes Balears,comunidad_autonoma_05 - Canarias,comunidad_autonoma_07 - C.León,comunidad_autonoma_08 - C.La Mancha,comunidad_autonoma_09 - Catalunya,comunidad_autonoma_11 - Extremadura,comunidad_autonoma_12 - Galicia,comunidad_autonoma_15 - Navarra,comunidad_autonoma_unknown,coverage_band_moderate,coverage_band_good,coverage_band_full,carretera_group,y_clf,y_reg
20,18748.00975480563,3834.295419680636,11866.38571017738,358,91.79920454545454,560.0,41.814651375,-3.083405435227273,21,0.5734272957961725,7.19,0.0,45.0,95.47680118638588,7,1,58.20079545454546,1,468.20079545454547,1,2,1.0,4.068181818181818,3.094802150421093,4.4,0,1.0,4.0,7154.8386698680415,16722.033,265.4505224085115,12.83457781985445,8.252001743345753,4.48863636973214,6.329720905522696,4.569302577230078,0.0,0.4532562310504193,5.585188569365795,0.1442087395489264,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,A-1,0,0
1,30348.62051100281,2500.3327132908576,2500.3327132908576,12,83.33333333333333,100.0,42.908297000000005,-2.078259333333333,3,0.9600491420554236,1.61,0.0,30.0,39.54051221421887,1,0,66.66666666666667,1,16.66666666666667,0,2,1.0,4.0,1.0,3.0,0,1.0,4.0,579.1000923541085,16722.033,265.4505224085115,10.320539292653386,7.824578954133135,1.3862943611198906,4.61512051684126,3.7023017757298984,0.0,0.6729695454053735,5.585188569365795,2.5801348231633465,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,A-10,0,0
8,19931.40914147485,4991.454311023295,12963.387054473467,3,33.5,60.0,41.6147115,-4.687557,2,2.106614686942981,0.0,0.0,132.0,1.881452522188561,3,0,116.5,1,26.5,0,0,1.0,1.5,2.5971162404200894,0.25,1,0.0,4.0,3042.5846526740115,16722.033,265.4505224085115,11.979499928415601,8.51568291372547,1.0986122886681098,4.110873864173311,1.0582945149892973,0.0,1.1335336082187,5.585188569365795,3.9931666428052,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,A-11,1,1
3,37671.34566525964,10779.617056634708,21986.44498022217,13,98.96,180.0,42.7742082,-1.71073916,4,0.6684454493329723,5.3,0.0,66.0,11.50299586279318,2,1,51.040000000000006,1,81.04,0,2,1.0,2.6,2.0396313583968935,1.6666666666666667,0,1.0,4.0,2156.48810916591,9180.724,166.9679121196385,11.635276159600455,9.285505083699997,1.791759469228055,5.198497031265826,2.5259682846156775,0.0,0.5118923242384803,5.123772961872706,1.9392126932667424,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,A-12,0,0
1,4169.221303463914,261.27641089715235,261.27641089715235,26,64.4,100.0,42.463871,-2.4196750600000003,3,0.5297028970019393,1.61,0.0,30.0,623.6176520156994,1,0,85.6,1,35.599999999999994,0,2,1.0,5.2,1.0,5.0,0,1.0,4.0,79.55539333345766,16722.033,265.4505224085115,8.335724383759704,5.569398951060338,1.791759469228055,4.61512051684126,6.437139705761994,0.0,0.4250735315819497,5.585188569365795,1.389287397293284,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,A-13,0,0
1,16562.851752577764,2392.7067416761056,2392.7067416761056,0,0.0,0.0,40.47113672940836,-3.651627949173478,0,0.6186893643023295,18.6,0.0,66.0,0.0,1,0,150.0,1,0.0,0,0,1.0,0.0,1.0,0.0,0,1.0,4.0,316.0456329831467,8197.075,381.4525327661002,9.714977994648214,7.7805983814032045,0.0,0.0,0.0,0.0,0.4816167874180782,5.946604548222349,9.714977994648214,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,A-14,1,1
10,14045.834692497574,8804.987000718953,20440.52003421126,53,101.94466666666668,250.0,42.99733826666667,-1.8400042,9,0.9036623149570036,1.08,0.01,45.0,37.73360655334308,3,1,48.05533333333332,1,148.05533333333332,1,2,1.0,3.533333333333333,2.32147077929158,1.5,0,0.9908256880733944,4.0,2680.1693225782524,4590.362,1471.7008155196243,11.852673380157675,9.083187110130071,2.772588722239781,5.5254529391317835,3.656707609597708,0.009950330853168083,0.6437795650500021,7.294853283490111,0.7407920862598547,2.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,A-15,0,0
1,6823.882190311151,2910.6013193910003,2910.6013193910003,1,50.0,50.0,40.71318,-3.577692,1,1.0434060418113669,44.67,0.0,15.0,14.654414776091008,1,0,100.0,0,0.0,0,2,1.0,1.0,1.0,1.0,0,1.0,1.5,48.82895919260228,8197.075,264.53959137413943,8.828330358411307,7.9764584903938145,0.6931471805599453,3.9318256327243257,2.7507529715239554,0.0,0.7146180439151465,5.58176394961796,4.4141651792056535,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,A-1A,0,0
19,27552.87782971704,3339.675378062583,9699.60850524344,407,94.50578125,360.0,41.0948089921875,-1.408343632578125,23,0.0315065627462405,7.53,0.0,45.0,77.74524593752368,9,1,55.49421875,1,265.49421875,1,2,1.0,3.1796875,2.904356683573955,6.7368421052631575,0,1.0,4.0,9989.304380754014,9180.724,166.9679121196385,13.168303156921809,8.113928274530036,4.859812404361672,5.8888779583328805,4.36621790683614,0.0,0.031020415841688513,5.123772961872706,0.10207986943350239,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,A-2,0,0
1,3272.920991089572,3812.518713748711,3812.518713748711,0,0.0,0.0,40.47113672940836,-3.651627949173478,0,0.6186893643023295,18.6,0.0,66.0,0.0,1,0,150.0,0,0.0,0,0,1.0,0.0,1.0,0.0,0,1.0,1.5,23.419707588362844,8197.075,381.4525327661002,8.09374362541313,8.24630758882936,0.0,0.0,0.0,0.0,0.4816167874180782,5.946604548222349,8.09374362541313,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,A-2,1,1
9,9068.784796217557,7744.878111450989,16880.295275068678,2,50.0,50.0,42.62066,-1.203379,1,0.2992811397893725,1.08,0.01,45.0,2.4504079346431014,2,0,100.0,1,0.0,0,2,1.0,2.0,2.1795430518281176,0.1111111111111111,0,0.9908256880733944,4.0,1557.4219263154343,4590.362,1471.7008155196243,11.309830382862438,8.95491612427454,0.6931471805599453,3.9318256327243257,1.2384924659787795,0.009950330853168083,0.2618111421307412,7.294853283490111,5.654915191431219,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,A-21,1,1
6,17926.701920969444,7336.244030431547,11091.864062332468,16,96.618,350.0,41.8607594,0.2174045399999999,5,0.0674969179771993,33.5,1.81,110.0,14.8753891174337,2,1,53.382000000000005,1,253.382,1,2,1.0,3.2,1.511926813819469,0.8333333333333334,0,0.9487397337864627,4.0,2052.4204190976484,9180.724,166.9679121196385,11.585815374040235,8.90071857840779,1.791759469228055,5.860786223465865,2.7647700558127637,1.0331844833456545,0.06531657897567786,5.123772961872706,1.930969229006706,633.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,A-22,0,0
18,22025.06325698565,9954.87844312208,22582.34980523711,46,111.71428571428572,320.0,40.94914264285715,-0.6890011357142857,8,0.1081507220035052,3.47,0.0,45.0,11.602943091412074,7,1,38.28571428571428,1,208.28571428571428,1,2,1.0,3.2857142857142856,2.2684706733751705,0.7777777777777778,0,1.0,4.0,7564.920155392997,9180.724,166.9679121196385,12.890310603126004,9.205918454003754,2.70805020110221,5.771441123130016,2.5339303653656766,0.0,0.10269260976284096,5.123772961872706,0.8593540402084002,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,A-23,0,0
1,19995.333769674355,8205.772975892694,8205.772975892694,4,86.0,150.0,42.193335000000005,2.504341,1,0.0135656229867955,71.08000000000001,0.0,132.0,20.00466731926498,1,1,64.0,1,64.0,0,1,1.0,2.0,1.0,2.0,1,1.0,4.0,381.5428654647284,52789.163,2890.0057817665343,9.903304224216237,9.012715064994477,1.0986122886681098,5.017279836814924,3.04474466632715,0.0,0.013474433690756208,7.96935974193359,3.301101408072079,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,A-26,0,0
2,14621.397429416173,1742.1657919697786,2448.0002040533245,18,39.72666666666667,59.0,41.1715035,1.223935166666667,3,0.0061677553127172,204.03,0.0,66.0,61.55362401881834,1,0,110.27333333333334,1,19.273333333333333,0,2,1.0,3.0,1.4051476704094246,3.0,0,1.0,4.0,557.9991748653781,52789.163,2890.0057817665343,10.283422688576414,7.463458159739939,1.9459101490553132,4.0943445622221,4.136024173185315,0.0,0.006148812559527055,7.96935974193359,1.4690603840823449,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,A-27,0,0
9,38527.401278199904,2537.4908702528314,7860.107304045982,196,95.04142857142855,350.0,39.86153617857143,-2.2002482910714285,18,0.1523761384317913,42.36,0.0,15.0,56.52542620387006,6,1,54.958571428571446,1,254.95857142857145,1,2,1.0,3.5,3.097590378034666,6.222222222222222,0,1.0,4.0,6616.478487795661,8197.075,264.53959137413943,12.756352449916292,7.839325037868408,4.04305126783455,5.860786223465865,4.052227044913888,0.0,0.14182601803659228,5.58176394961796,0.22379565701607532,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,A-3,0,0
